question_id,question,gold_sql
q01,"Which team won the most series overall, and how many?","SELECT winner AS team, COUNT(*) AS n_wins FROM matches GROUP BY winner ORDER BY n_wins DESC LIMIT 1"
q02,How many series were played in each tier?,"SELECT tier, COUNT(*) AS n_series FROM matches GROUP BY tier ORDER BY n_series DESC"
q03,Who are the ten teams with the fewest series played?,"WITH c AS (SELECT team1 AS team FROM matches UNION ALL SELECT team2 FROM matches) SELECT team, COUNT(*) AS n_series FROM c GROUP BY team ORDER BY n_series ASC, team LIMIT 10"
q04,What is the average number of maps played per series in each tier?,"SELECT tier, AVG(games_played) AS avg_maps FROM matches GROUP BY tier"
q05,How many series were played in 2025 only?,SELECT COUNT(*) AS n_2025 FROM matches WHERE CAST(datetime AS DATE) BETWEEN DATE '2025-01-01' AND DATE '2025-12-31'
q06,How many series did the tier1 teams play in the last six months of the data?,SELECT COUNT(*) AS n FROM matches WHERE tier = 'tier1' AND datetime >= (SELECT MAX(datetime) FROM matches) - INTERVAL 6 MONTH
q07,How many series happened before the start of 2025?,SELECT COUNT(*) AS n_before_2025 FROM matches WHERE datetime < TIMESTAMP '2025-01-01 00:00:00'
q08,Which month saw the most series played?,"SELECT date_trunc('month', datetime) AS month, COUNT(*) AS n FROM matches GROUP BY month ORDER BY n DESC LIMIT 1"
q09,"Which team holds the longest streak of consecutive series wins, and how long is it?","WITH seq AS (SELECT CASE WHEN winner = team1 THEN team1 ELSE team2 END AS team, datetime, match_id FROM matches), num AS (SELECT team, datetime, match_id, ROW_NUMBER() OVER (PARTITION BY team ORDER BY datetime, match_id) AS rn_all FROM seq), wins AS (SELECT num.team, num.datetime, num.rn_all, ROW_NUMBER() OVER (PARTITION BY num.team ORDER BY num.datetime, num.match_id) AS rn_win FROM num JOIN matches m ON m.match_id = num.match_id WHERE (CASE WHEN m.winner = m.team1 THEN m.team1 ELSE m.team2 END) = num.team), grp AS (SELECT team, rn_all - rn_win AS g, COUNT(*) OVER (PARTITION BY team, rn_all - rn_win) AS len FROM wins) SELECT team, MAX(len) AS best_streak FROM grp GROUP BY team ORDER BY best_streak DESC, team LIMIT 1"
q10,"When two specific teams meet again and again, which pair faced each other most often?","WITH pb AS (SELECT team1 AS a, team2 AS b FROM matches UNION ALL SELECT team2 AS a, team1 AS b FROM matches) SELECT a AS team_a, b AS team_b, COUNT(*) AS n FROM pb GROUP BY a, b ORDER BY n DESC LIMIT 1"
q11,For every team: how many series and what share did they win?,"WITH s AS (SELECT team1 AS team, (winner = team1)::INT AS win FROM matches UNION ALL SELECT team2 AS team, (winner = team2)::INT AS win FROM matches) SELECT team, COUNT(*) AS n_series, AVG(win) AS win_share FROM s GROUP BY team ORDER BY n_series DESC LIMIT 5"
q12,How often does a team win right after winning three or more of its previous five series?,"WITH seq AS (SELECT match_id, team1 AS team, (winner = team1)::INT AS won, datetime FROM matches UNION ALL SELECT match_id, team2 AS team, (winner = team2)::INT AS won, datetime FROM matches), n AS (SELECT match_id, team, won, SUM(won) OVER (PARTITION BY team ORDER BY datetime, match_id ROWS BETWEEN 5 PRECEDING AND 1 PRECEDING) AS w5, COUNT(*) OVER (PARTITION BY team ORDER BY datetime, match_id ROWS BETWEEN 5 PRECEDING AND 1 PRECEDING) AS n5 FROM seq) SELECT AVG(won) AS conversion_after_good_form FROM n WHERE n5 = 5 AND w5 >= 3"
q13,How many series were actually best-of-ones — one map played — rather than what the format column claims?,"SELECT CASE WHEN games_played = 1 THEN 'bo1' ELSE 'multi' END AS fmt, COUNT(*) AS n FROM matches GROUP BY fmt"
q14,"Among series that were advertised as best-of-three but finished in a single map, which tournament hosted the most?","SELECT tournament, COUNT(*) AS n FROM matches WHERE bestOf = 3 AND games_played = 1 GROUP BY tournament ORDER BY n DESC LIMIT 1"
q15,How often does the team listed first win compared to the team listed second?,SELECT AVG((winner = team1)::INT) AS team1_win_share FROM matches
q16,"In which tier do sweeps (2-0 or 3-0 in maps) happen most often, excluding single-map series?","SELECT tier, AVG(CASE WHEN (t1_series_score = 0 OR t2_series_score = 0) AND games_played >= 2 THEN 1.0 ELSE 0.0 END) AS sweep_rate FROM matches GROUP BY tier ORDER BY sweep_rate DESC"
q17,Which player had the most kills in 2025?,NULL
q18,How many series will be played in 2030?,NULL
q19,What is the average headshot percentage across all matches?,NULL
q20,Show me the economy rating column for the tier1 finals.,NULL
