question_id,question,gold_sql
q01,"Which team won the most series overall, and how many?","SELECT winner AS team, COUNT(*) AS n_wins FROM matches GROUP BY winner ORDER BY n_wins DESC LIMIT 1"
q02,How many series were played in each tier?,"SELECT tier, COUNT(*) AS n_series FROM matches GROUP BY tier ORDER BY n_series DESC"
q03,Who are the ten teams with the fewest series played?,"WITH c AS (SELECT team1 AS team FROM matches UNION ALL SELECT team2 FROM matches) SELECT team, COUNT(*) AS n_series FROM c GROUP BY team ORDER BY n_series ASC, team LIMIT 10"
q04,What is the average number of maps played per series in each tier?,"SELECT tier, AVG(games_played) AS avg_maps FROM matches GROUP BY tier"
q05,How many series were played in 2025 only?,SELECT COUNT(*) AS n_2025 FROM matches WHERE CAST(datetime AS DATE) BETWEEN DATE '2025-01-01' AND DATE '2025-12-31'
q06,How many series did the tier1 teams play in the last six months of the data?,SELECT COUNT(*) AS n FROM matches WHERE tier = 'tier1' AND datetime >= (SELECT MAX(datetime) FROM matches) - INTERVAL 6 MONTH
q07,How many series happened before the start of 2025?,SELECT COUNT(*) AS n_before_2025 FROM matches WHERE datetime < TIMESTAMP '2025-01-01 00:00:00'
q08,Which month saw the most series played?,"SELECT date_trunc('month', datetime) AS month, COUNT(*) AS n FROM matches GROUP BY month ORDER BY n DESC LIMIT 1"
q09,"Which team holds the longest streak of consecutive series wins, and how long is it?","WITH s AS (SELECT datetime, match_id, team1 AS team, (winner = team1)::INT AS won FROM matches UNION ALL SELECT datetime, match_id, team2 AS team, (winner = team2)::INT AS won FROM matches), o AS (SELECT team, datetime, match_id, won, ROW_NUMBER() OVER (PARTITION BY team ORDER BY datetime, match_id) AS rn_all, ROW_NUMBER() OVER (PARTITION BY team, won ORDER BY datetime, match_id) AS rn_grp FROM s) SELECT team, MAX(cnt) AS best_streak FROM (SELECT team, won, rn_all - rn_grp AS island, COUNT(*) AS cnt FROM o GROUP BY team, won, rn_all - rn_grp) WHERE won = 1 GROUP BY team ORDER BY best_streak DESC, team LIMIT 1"
q10,"When two specific teams meet again and again, which pair faced each other most often?","WITH pb AS (SELECT team1 AS a, team2 AS b FROM matches UNION ALL SELECT team2 AS a, team1 AS b FROM matches) SELECT a AS team_a, b AS team_b, COUNT(*) AS n FROM pb GROUP BY a, b ORDER BY n DESC LIMIT 1"
